-Rapunzel e José Bezerra	Enrolados
-Sara e Michael			Amor de Redenção
-Louisa Clark e Will Traynor	Como Eu Era Antes de Você
-Andie Anderson e Benjamin Barry	Como Perder um Homem em 10 Dias
-Anakin e Padmé			Star Wars (Prequels)
-Katara e Aang			Avatar: A Lenda de Aang
-Tiana e Principe Naveen	A Princesa e o Sapo
-Aurora e Principe Phillip	A Bela Adormecida
-Bela e Edward			Crepúsculo
Anastasia e Dimitri		Anastasia
-Ariel e Principe Erick		A Que Pena Seria
-Leon e Ada			Resident Evil 4 Remake
-Kaguya e Shirogane		Kaguya-Sama Love is War
-Judy e Nick			Zootopia
May e Cody			It Takes Two
Gwen Stone e Peter Garfiel	O Espetacular Homem Arnha
Ellie e Carl			Up Altas Aventuras
